=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:41: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoDsBWANHcBPWcAmJAzbAY33AGIATAI3pooF8twAGDd8LCaeBEQAsrbJwQIe2AMwYE3ALoYAUGCj5kpcAHcNxNKPAIuUvhuFtdA1AbbGJ4JarMDLe9IYIne6gRexWiPqecpJOavxw7DaGstxsspI+kYJIIgmhjipqAE74QmyR0kgIWnjwALRCwWziWc6+cMWlhvb1EfjNttheYdkQefAAHIX5SGX4FcUkhpwEUhwY0gucQisYaO0ucNXdRhjzdksLxmtHm+HbuyGHPcdsXmd3F-2NaOOx93AQgQSfaAAdAB2wOBnEUr0iADZxmxylEajIMEJQSCgXUMoC0WC5FtwIM4BURthIgBOfRwyZEDy1DBQ9YodZDdakvFkxH7elHRlHZlHVmXRrkmYPOkLLw8u58u4CyH4YVaX6fKGo4HGeJI5mC9kkSnwaIipEq7FAtoZFCq024wUEqqjATFdB6wkww2LeRsjSOvb2CENFLekIehQKIA
13:33:43: [INFO] Add SW28 footprint
13:33:43: [INFO] Add D28 footprint
13:33:43: [INFO] Add SW29 footprint
13:33:43: [INFO] Add D29 footprint
13:33:43: [INFO] Add SW30 footprint
13:33:43: [INFO] Add D30 footprint
13:33:43: [INFO] Add SW31 footprint
13:33:43: [INFO] Add D31 footprint
13:33:43: [INFO] Add SW32 footprint
13:33:43: [INFO] Add D32 footprint
13:33:43: [INFO] Add SW33 footprint
13:33:43: [INFO] Add D33 footprint
13:33:43: [INFO] Add SW34 footprint
13:33:43: [INFO] Add D34 footprint
13:33:43: [INFO] Add SW35 footprint
13:33:43: [INFO] Add D35 footprint
13:33:43: [INFO] Add SW36 footprint
13:33:43: [INFO] Add D36 footprint
13:33:43: [INFO] Add SW37 footprint
13:33:44: [INFO] Add D37 footprint
13:33:44: [INFO] Add SW38 footprint
13:33:44: [INFO] Add D38 footprint
13:33:44: [INFO] Add SW39 footprint
13:33:44: [INFO] Add D39 footprint
13:33:44: [INFO] Add SW40 footprint
13:33:44: [INFO] Add D40 footprint
13:33:44: [INFO] Add SW41 footprint
13:33:44: [INFO] Add D41 footprint
13:33:44: [INFO] Add ST41 footprint
13:33:44: [INFO] Add SW41a footprint
13:33:44: [INFO] Add SW42 footprint
13:33:44: [INFO] Add D42 footprint
13:33:44: [INFO] Add ST42 footprint
13:33:44: [INFO] Add SW42a footprint
13:33:44: [INFO] Add SW43 footprint
13:33:44: [INFO] Add D43 footprint
13:33:44: [INFO] Add SW44 footprint
13:33:44: [INFO] Add D44 footprint
13:33:44: [INFO] Add SW45 footprint
13:33:44: [INFO] Add D45 footprint
13:33:44: [INFO] Add SW46 footprint
13:33:44: [INFO] Add D46 footprint
13:33:44: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:44: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:44: [INFO] Layout offset: (33337500, 23812500)
13:33:44: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:44: [INFO] Placing additional elements for SW46
13:33:44: [INFO] Placing additional elements for SW45
13:33:44: [INFO] Placing additional elements for SW44
13:33:44: [INFO] Placing additional elements for SW43
13:33:44: [INFO] Placing additional elements for SW42a
13:33:44: [INFO] Placing additional elements for SW42
13:33:44: [INFO] Placing additional elements for SW41a
13:33:44: [INFO] Placing additional elements for SW41
13:33:44: [INFO] Placing additional elements for SW40
13:33:44: [INFO] Placing additional elements for SW39
13:33:44: [INFO] Placing additional elements for SW38
13:33:44: [INFO] Placing additional elements for SW37
13:33:44: [INFO] Placing additional elements for SW36
13:33:44: [INFO] Placing additional elements for SW35
13:33:44: [INFO] Placing additional elements for SW34
13:33:44: [INFO] Placing additional elements for SW33
13:33:44: [INFO] Placing additional elements for SW32
13:33:44: [INFO] Placing additional elements for SW31
13:33:44: [INFO] Placing additional elements for SW30
13:33:44: [INFO] Placing additional elements for SW29
13:33:44: [INFO] Placing additional elements for SW28
13:33:44: [INFO] Placing additional elements for SW27
13:33:44: [INFO] Placing additional elements for SW26
13:33:44: [INFO] Placing additional elements for SW25
13:33:44: [INFO] Placing additional elements for SW24
13:33:44: [INFO] Placing additional elements for SW23
13:33:44: [INFO] Placing additional elements for SW22
13:33:44: [INFO] Placing additional elements for SW21
13:33:44: [INFO] Placing additional elements for SW20
13:33:44: [INFO] Placing additional elements for SW19
13:33:44: [INFO] Placing additional elements for SW18
13:33:44: [INFO] Placing additional elements for SW17
13:33:44: [INFO] Placing additional elements for SW16
13:33:44: [INFO] Placing additional elements for SW15
13:33:44: [INFO] Placing additional elements for SW14
13:33:44: [INFO] Placing additional elements for SW13
13:33:44: [INFO] Placing additional elements for SW12
13:33:44: [INFO] Placing additional elements for SW11
13:33:44: [INFO] Placing additional elements for SW10
13:33:44: [INFO] Placing additional elements for SW9
13:33:44: [INFO] Placing additional elements for SW8
13:33:44: [INFO] Placing additional elements for SW7
13:33:44: [INFO] Placing additional elements for SW6
13:33:44: [INFO] Placing additional elements for SW5
13:33:44: [INFO] Placing additional elements for SW4
13:33:44: [INFO] Placing additional elements for SW3
13:33:44: [INFO] Placing additional elements for SW2
13:33:44: [INFO] Placing additional elements for SW1
13:33:44: [INFO] Routing SW46 with D46
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW46:2' at (334010000, 128270000) with pad 'D46:2' at (336550000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(334010000, 128270000), (334010000, 133410000)]
13:33:44: [INFO] Adding track segment (B.Cu): [(334010000, 133410000), (336550000, 135950000)]
13:33:44: [INFO] Routing SW45 with D45
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW45:2' at (353060000, 71120000) with pad 'D45:2' at (355600000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(353060000, 71120000), (353060000, 76260000)]
13:33:44: [INFO] Adding track segment (B.Cu): [(353060000, 76260000), (355600000, 78800000)]
13:33:44: [INFO] Routing SW44 with D44
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW44:2' at (277352080, 133476982) with pad 'D44:2' at (280936210, 140728740) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(277352080, 133476982), (278067429, 138566959)]
13:33:44: [INFO] Adding track segment (B.Cu): [(278067429, 138566959), (280936210, 140728740)]
13:33:44: [INFO] Routing SW43 with D43
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW43:2' at (258487473, 136128230) with pad 'D43:2' at (262071603, 143379988) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(258487473, 136128230), (259202821, 141218206)]
13:33:44: [INFO] Adding track segment (B.Cu): [(259202821, 141218206), (262071603, 143379988)]
13:33:44: [INFO] Routing SW42a with D42
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW42a:2' at (239622866, 138779477) with pad 'D42:2' at (252639299, 144705611) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Routing SW42 with D42
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW42:2' at (249055169, 137453853) with pad 'D42:2' at (252639299, 144705611) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(249055169, 137453853), (249770518, 142543829)]
13:33:44: [INFO] Adding track segment (B.Cu): [(249770518, 142543829), (252639299, 144705611)]
13:33:44: [INFO] Routing SW41a with D41
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW41a:2' at (173557584, 139384604) with pad 'D41:2' at (165571712, 146017738) using coordinate system rotated by 8.0 degree(s)
13:33:44: [INFO] Routing SW41 with D41
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW41:2' at (164125281, 138058980) with pad 'D41:2' at (165571712, 146017738) using coordinate system rotated by 8.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(164125281, 138058980), (163409930, 143148957)]
13:33:44: [INFO] Adding track segment (B.Cu): [(163409930, 143148957), (165571712, 146017738)]
13:33:44: [INFO] Routing SW40 with D40
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW40:2' at (154692977, 136733356) with pad 'D40:2' at (156139408, 144692114) using coordinate system rotated by 8.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(154692977, 136733356), (153977626, 141823332)]
13:33:44: [INFO] Adding track segment (B.Cu): [(153977626, 141823332), (156139408, 144692114)]
13:33:44: [INFO] Routing SW39 with D39
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW39:2' at (135828370, 134082109) with pad 'D39:2' at (137274801, 142040867) using coordinate system rotated by 8.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(135828370, 134082109), (135113019, 139172087)]
13:33:44: [INFO] Adding track segment (B.Cu): [(135113019, 139172087), (137274801, 142040867)]
13:33:44: [INFO] Routing SW38 with D38
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW38:2' at (78740000, 128270000) with pad 'D38:2' at (81280000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(78740000, 128270000), (78740000, 133410000)]
13:33:44: [INFO] Adding track segment (B.Cu): [(78740000, 133410000), (81280000, 135950000)]
13:33:44: [INFO] Routing SW37 with D37
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW37:2' at (59690000, 128270000) with pad 'D37:2' at (62230000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(59690000, 128270000), (59690000, 133410000)]
13:33:44: [INFO] Adding track segment (B.Cu): [(59690000, 133410000), (62230000, 135950000)]
13:33:44: [INFO] Routing SW36 with D36
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW36:2' at (336391250, 109220000) with pad 'D36:2' at (338931250, 116900000) using coordinate system rotated by 0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(336391250, 109220000), (336391250, 114360000)]
13:33:44: [INFO] Adding track segment (B.Cu): [(336391250, 114360000), (338931250, 116900000)]
13:33:44: [INFO] Routing SW35 with D35
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW35:2' at (313959131, 108902098) with pad 'D35:2' at (317028673, 116386208) using coordinate system rotated by 356.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(313959131, 108902098), (314317678, 114029576)]
13:33:44: [INFO] Adding track segment (B.Cu): [(314317678, 114029576), (317028673, 116386208)]
13:33:44: [INFO] Routing SW34 with D34
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW34:2' at (293565439, 111961128) with pad 'D34:2' at (297149569, 119212886) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(293565439, 111961128), (294280787, 117051104)]
13:33:44: [INFO] Adding track segment (B.Cu): [(294280787, 117051104), (297149569, 119212886)]
13:33:44: [INFO] Routing SW33 with D33
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW33:2' at (274700832, 114612375) with pad 'D33:2' at (278284962, 121864133) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(274700832, 114612375), (275416180, 119702351)]
13:33:44: [INFO] Adding track segment (B.Cu): [(275416180, 119702351), (278284962, 121864133)]
13:33:44: [INFO] Routing SW32 with D32
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW32:2' at (255836225, 117263623) with pad 'D32:2' at (259420355, 124515381) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(255836225, 117263623), (256551574, 122353599)]
13:33:44: [INFO] Adding track segment (B.Cu): [(256551574, 122353599), (259420355, 124515381)]
13:33:44: [INFO] Routing SW31 with D31
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW31:2' at (236971619, 119914870) with pad 'D31:2' at (240555749, 127166628) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(236971619, 119914870), (237686968, 125004846)]
13:33:44: [INFO] Adding track segment (B.Cu): [(237686968, 125004846), (240555749, 127166628)]
13:33:44: [INFO] Routing SW30 with D30
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW30:2' at (176208831, 120519997) with pad 'D30:2' at (177655262, 128478755) using coordinate system rotated by 8.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(176208831, 120519997), (175493480, 125609974)]
13:33:44: [INFO] Adding track segment (B.Cu): [(175493480, 125609974), (177655262, 128478755)]
13:33:44: [INFO] Routing SW29 with D29
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW29:2' at (157344225, 117868750) with pad 'D29:2' at (158790656, 125827508) using coordinate system rotated by 8.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(157344225, 117868750), (156628874, 122958728)]
13:33:44: [INFO] Adding track segment (B.Cu): [(156628874, 122958728), (158790656, 125827508)]
13:33:44: [INFO] Routing SW28 with D28
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW28:2' at (138479618, 115217502) with pad 'D28:2' at (139926049, 123176260) using coordinate system rotated by 8.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(138479618, 115217502), (137764267, 120307478)]
13:33:44: [INFO] Adding track segment (B.Cu): [(137764267, 120307478), (139926049, 123176260)]
13:33:44: [INFO] Routing SW27 with D27
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW27:2' at (119615011, 112566254) with pad 'D27:2' at (121061442, 120525012) using coordinate system rotated by 8.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(119615011, 112566254), (118899660, 117656230)]
13:33:44: [INFO] Adding track segment (B.Cu): [(118899660, 117656230), (121061442, 120525012)]
13:33:44: [INFO] Routing SW26 with D26
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW26:2' at (99608925, 109288576) with pad 'D26:2' at (101607007, 117127049) using coordinate system rotated by 4.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(99608925, 109288576), (99250376, 114416055)]
13:33:44: [INFO] Adding track segment (B.Cu): [(99250376, 114416055), (101607007, 117127049)]
13:33:44: [INFO] Routing SW25 with D25
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW25:2' at (71596250, 109220000) with pad 'D25:2' at (74136250, 116900000) using coordinate system rotated by 0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(71596250, 109220000), (71596250, 114360000)]
13:33:44: [INFO] Adding track segment (B.Cu): [(71596250, 114360000), (74136250, 116900000)]
13:33:44: [INFO] Routing SW24 with D24
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW24:2' at (341153750, 90170000) with pad 'D24:2' at (343693750, 97850000) using coordinate system rotated by 0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(341153750, 90170000), (341153750, 95310000)]
13:33:44: [INFO] Adding track segment (B.Cu): [(341153750, 95310000), (343693750, 97850000)]
13:33:44: [INFO] Routing SW23 with D23
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW23:2' at (312630270, 89898503) with pad 'D23:2' at (315699812, 97382613) using coordinate system rotated by 356.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(312630270, 89898503), (312988817, 95025981)]
13:33:44: [INFO] Adding track segment (B.Cu): [(312988817, 95025981), (315699812, 97382613)]
13:33:44: [INFO] Routing SW22 with D22
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW22:2' at (290914191, 93096521) with pad 'D22:2' at (294498321, 100348279) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(290914191, 93096521), (291629540, 98186497)]
13:33:44: [INFO] Adding track segment (B.Cu): [(291629540, 98186497), (294498321, 100348279)]
13:33:44: [INFO] Routing SW21 with D21
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW21:2' at (272049584, 95747769) with pad 'D21:2' at (275633714, 102999527) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(272049584, 95747769), (272764933, 100837745)]
13:33:44: [INFO] Adding track segment (B.Cu): [(272764933, 100837745), (275633714, 102999527)]
13:33:44: [INFO] Routing SW20 with D20
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW20:2' at (253184978, 98399016) with pad 'D20:2' at (256769108, 105650774) using coordinate system rotated by 352.0 degree(s)
13:33:44: [INFO] Adding track segment (B.Cu): [(253184978, 98399016), (253900327, 103488992)]
13:33:44: [INFO] Adding track segment (B.Cu): [(253900327, 103488992), (256769108, 105650774)]
13:33:44: [INFO] Routing SW19 with D19
13:33:44: [INFO] Using internal autorouter method
13:33:44: [INFO] Routing pad 'SW19:2' at (234320371, 101050264) with pad 'D19:2' at (237904501, 108302022) using coordinate system rotated by 352.0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(234320371, 101050264), (235035719, 106140240)]
13:33:45: [INFO] Adding track segment (B.Cu): [(235035719, 106140240), (237904501, 108302022)]
13:33:45: [INFO] Routing SW18 with D18
13:33:45: [INFO] Using internal autorouter method
13:33:45: [INFO] Routing pad 'SW18:2' at (178860079, 101655390) with pad 'D18:2' at (180306510, 109614148) using coordinate system rotated by 8.0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(178860079, 101655390), (178144728, 106745366)]
13:33:45: [INFO] Adding track segment (B.Cu): [(178144728, 106745366), (180306510, 109614148)]
13:33:45: [INFO] Routing SW17 with D17
13:33:45: [INFO] Using internal autorouter method
13:33:45: [INFO] Routing pad 'SW17:2' at (159995472, 99004143) with pad 'D17:2' at (161441903, 106962901) using coordinate system rotated by 8.0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(159995472, 99004143), (159280121, 104094120)]
13:33:45: [INFO] Adding track segment (B.Cu): [(159280121, 104094120), (161441903, 106962901)]
13:33:45: [INFO] Routing SW16 with D16
13:33:45: [INFO] Using internal autorouter method
13:33:45: [INFO] Routing pad 'SW16:2' at (141130866, 96352895) with pad 'D16:2' at (142577297, 104311653) using coordinate system rotated by 8.0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(141130866, 96352895), (140415515, 101442872)]
13:33:45: [INFO] Adding track segment (B.Cu): [(140415515, 101442872), (142577297, 104311653)]
13:33:45: [INFO] Routing SW15 with D15
13:33:45: [INFO] Using internal autorouter method
13:33:45: [INFO] Routing pad 'SW15:2' at (122266259, 93701648) with pad 'D15:2' at (123712690, 101660406) using coordinate system rotated by 8.0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(122266259, 93701648), (121550909, 98791626)]
13:33:45: [INFO] Adding track segment (B.Cu): [(121550909, 98791626), (123712690, 101660406)]
13:33:45: [INFO] Routing SW14 with D14
13:33:45: [INFO] Using internal autorouter method
13:33:45: [INFO] Routing pad 'SW14:2' at (100937785, 90284981) with pad 'D14:2' at (102935867, 98123454) using coordinate system rotated by 4.0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(100937785, 90284981), (100579236, 95412460)]
13:33:45: [INFO] Adding track segment (B.Cu): [(100579236, 95412460), (102935867, 98123454)]
13:33:45: [INFO] Routing SW13 with D13
13:33:45: [INFO] Using internal autorouter method
13:33:45: [INFO] Routing pad 'SW13:2' at (76358750, 90170000) with pad 'D13:2' at (78898750, 97850000) using coordinate system rotated by 0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(76358750, 90170000), (76358750, 95310000)]
13:33:45: [INFO] Adding track segment (B.Cu): [(76358750, 95310000), (78898750, 97850000)]
13:33:45: [INFO] Routing SW12 with D12
13:33:45: [INFO] Using internal autorouter method
13:33:45: [INFO] Routing pad 'SW12:2' at (334010000, 71120000) with pad 'D12:2' at (336550000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(334010000, 71120000), (334010000, 76260000)]
13:33:45: [INFO] Adding track segment (B.Cu): [(334010000, 76260000), (336550000, 78800000)]
13:33:45: [INFO] Routing SW11 with D11
13:33:45: [INFO] Using internal autorouter method
13:33:45: [INFO] Routing pad 'SW11:2' at (311301409, 70894908) with pad 'D11:2' at (314370951, 78379018) using coordinate system rotated by 356.0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(311301409, 70894908), (311659956, 76022386)]
13:33:45: [INFO] Adding track segment (B.Cu): [(311659956, 76022386), (314370951, 78379018)]
13:33:45: [INFO] Routing SW10 with D10
13:33:45: [INFO] Using internal autorouter method
13:33:45: [INFO] Routing pad 'SW10:2' at (288262944, 74231914) with pad 'D10:2' at (291847074, 81483672) using coordinate system rotated by 352.0 degree(s)
13:33:45: [INFO] Adding track segment (B.Cu): [(288262944, 74231914), (288978293, 79321889)]
13:33:45: [INFO] Adding track segment (B.Cu): [(288978293, 79321889), (291847074, 81483672)]
