=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4DGtMGIBDI48AXw3ATQXAwmnmQCYVzMqBGWuCHecPFiHCyFKk26U0AZklUALHLQolANiUB2bvVwdUbKQA4lATiUcaYtBy5WOEu7LuK62XAOIkDnFQF00AFBgULjMrBQc1NohjEgsFADuuvoR1tF8+MIiBpEOmJFO+WguRSqp6q4McExICDloxqlmqRaSkTZt1nng7YU91iW87oSeBJJJ8HrhRRx+gcDgTFGVoXHomBNwehrTi2muGQJZQqKYS31LJXtlZ2gVt1or8DW7S423zbetFEsdP12SX6FIb8Eaeca4GosAy-OZBHSTRKQtYGaT7HhuUHHHComSSNFXNE3cBo+4ktCPDFVGp1Cho97kz7k76YNF-VkAunWYGY-CjMZIyZIHa4jiE6xw4JVPTxDbJXbydEgzLHSRjeAaQVbNYUAAmuAALgAnACuAFMDOlhvy1bhFXKhQrilasaqtUwDIqbhBNjKnfcEdqqA7qsKne9lR5RhDHZ7rLYMYdBG7MOq4JqQ9IdZh9fBjebLQdrdGKGn7eBfSlMIqxeBfL4gA
13:31:18: [INFO] Add SW30 footprint
13:31:18: [INFO] Add D30 footprint
13:31:18: [INFO] Add SW31 footprint
13:31:18: [INFO] Add D31 footprint
13:31:18: [INFO] Add SW32 footprint
13:31:18: [INFO] Add D32 footprint
13:31:18: [INFO] Add SW33 footprint
13:31:18: [INFO] Add D33 footprint
13:31:18: [INFO] Add SW34 footprint
13:31:18: [INFO] Add D34 footprint
13:31:18: [INFO] Add SW35 footprint
13:31:18: [INFO] Add D35 footprint
13:31:18: [INFO] Add SW36 footprint
13:31:18: [INFO] Add D36 footprint
13:31:18: [INFO] Add SW37 footprint
13:31:18: [INFO] Add D37 footprint
13:31:18: [INFO] Add SW38 footprint
13:31:18: [INFO] Add D38 footprint
13:31:18: [INFO] Add SW39 footprint
13:31:18: [INFO] Add D39 footprint
13:31:18: [INFO] Add SW40 footprint
13:31:18: [INFO] Add D40 footprint
13:31:18: [INFO] Add SW41 footprint
13:31:19: [INFO] Add D41 footprint
13:31:19: [INFO] Add SW42 footprint
13:31:19: [INFO] Add D42 footprint
13:31:19: [INFO] Add SW43 footprint
13:31:19: [INFO] Add D43 footprint
13:31:19: [INFO] Add SW44 footprint
13:31:19: [INFO] Add D44 footprint
13:31:19: [INFO] Add SW45 footprint
13:31:19: [INFO] Add D45 footprint
13:31:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:19: [INFO] Add ST45 footprint
13:31:19: [INFO] Add SW46 footprint
13:31:19: [INFO] Add D46 footprint
13:31:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:19: [INFO] Add ST46 footprint
13:31:19: [INFO] Add SW47 footprint
13:31:19: [INFO] Add D47 footprint
13:31:19: [INFO] Add SW48 footprint
13:31:19: [INFO] Add D48 footprint
13:31:19: [INFO] Add SW49 footprint
13:31:19: [INFO] Add D49 footprint
13:31:19: [INFO] Add SW50 footprint
13:31:19: [INFO] Add D50 footprint
13:31:19: [INFO] Add SW51 footprint
13:31:19: [INFO] Add D51 footprint
13:31:19: [INFO] Add SW52 footprint
13:31:19: [INFO] Add D52 footprint
13:31:19: [INFO] Add SW53 footprint
13:31:19: [INFO] Add D53 footprint
13:31:19: [INFO] Add SW54 footprint
13:31:19: [INFO] Add D54 footprint
13:31:19: [INFO] Add SW55 footprint
13:31:19: [INFO] Add D55 footprint
13:31:19: [INFO] Add SW56 footprint
13:31:19: [INFO] Add D56 footprint
13:31:19: [INFO] Add SW57 footprint
13:31:19: [INFO] Add D57 footprint
13:31:19: [INFO] Add SW58 footprint
13:31:19: [INFO] Add D58 footprint
13:31:19: [INFO] Add SW59 footprint
13:31:19: [INFO] Add D59 footprint
13:31:20: [INFO] Add SW60 footprint
13:31:20: [INFO] Add D60 footprint
13:31:20: [INFO] Add SW61 footprint
13:31:20: [INFO] Add D61 footprint
13:31:20: [INFO] Add SW62 footprint
13:31:20: [INFO] Add D62 footprint
13:31:20: [INFO] Add ST62 footprint
13:31:20: [INFO] Add SW63 footprint
13:31:20: [INFO] Add D63 footprint
13:31:20: [INFO] Add SW64 footprint
13:31:20: [INFO] Add D64 footprint
13:31:20: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:20: [INFO] Add ST64 footprint
13:31:20: [INFO] Add SW65 footprint
13:31:20: [INFO] Add D65 footprint
13:31:20: [INFO] Add SW66 footprint
13:31:20: [INFO] Add D66 footprint
13:31:20: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:20: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:20: [INFO] Layout offset: (38100000, 28575000)
13:31:20: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:20: [INFO] Placing additional elements for SW66
13:31:20: [INFO] Placing additional elements for SW65
13:31:20: [INFO] Placing additional elements for SW64
13:31:20: [INFO] Placing additional elements for SW63
13:31:20: [INFO] Placing additional elements for SW62
13:31:20: [INFO] Placing additional elements for SW61
13:31:20: [INFO] Placing additional elements for SW60
13:31:20: [INFO] Placing additional elements for SW59
13:31:20: [INFO] Placing additional elements for SW58
13:31:20: [INFO] Placing additional elements for SW57
13:31:20: [INFO] Placing additional elements for SW56
13:31:20: [INFO] Placing additional elements for SW55
13:31:20: [INFO] Placing additional elements for SW54
13:31:20: [INFO] Placing additional elements for SW53
13:31:20: [INFO] Placing additional elements for SW52
13:31:20: [INFO] Placing additional elements for SW51
13:31:20: [INFO] Placing additional elements for SW50
13:31:20: [INFO] Placing additional elements for SW49
13:31:20: [INFO] Placing additional elements for SW48
13:31:20: [INFO] Placing additional elements for SW47
13:31:20: [INFO] Placing additional elements for SW46
13:31:20: [INFO] Placing additional elements for SW45
13:31:20: [INFO] Placing additional elements for SW44
13:31:20: [INFO] Placing additional elements for SW43
13:31:20: [INFO] Placing additional elements for SW42
13:31:20: [INFO] Placing additional elements for SW41
13:31:20: [INFO] Placing additional elements for SW40
13:31:20: [INFO] Placing additional elements for SW39
13:31:20: [INFO] Placing additional elements for SW38
13:31:20: [INFO] Placing additional elements for SW37
13:31:20: [INFO] Placing additional elements for SW36
13:31:20: [INFO] Placing additional elements for SW35
13:31:20: [INFO] Placing additional elements for SW34
13:31:20: [INFO] Placing additional elements for SW33
13:31:20: [INFO] Placing additional elements for SW32
13:31:20: [INFO] Placing additional elements for SW31
13:31:20: [INFO] Placing additional elements for SW30
13:31:20: [INFO] Placing additional elements for SW29
13:31:20: [INFO] Placing additional elements for SW28
13:31:20: [INFO] Placing additional elements for SW27
13:31:20: [INFO] Placing additional elements for SW26
13:31:20: [INFO] Placing additional elements for SW25
13:31:20: [INFO] Placing additional elements for SW24
13:31:20: [INFO] Placing additional elements for SW23
13:31:20: [INFO] Placing additional elements for SW22
13:31:20: [INFO] Placing additional elements for SW21
13:31:20: [INFO] Placing additional elements for SW20
13:31:20: [INFO] Placing additional elements for SW19
13:31:20: [INFO] Placing additional elements for SW18
13:31:20: [INFO] Placing additional elements for SW17
13:31:20: [INFO] Placing additional elements for SW16
13:31:20: [INFO] Placing additional elements for SW15
13:31:20: [INFO] Placing additional elements for SW14
13:31:20: [INFO] Placing additional elements for SW13
13:31:20: [INFO] Placing additional elements for SW12
13:31:20: [INFO] Placing additional elements for SW11
13:31:20: [INFO] Placing additional elements for SW10
13:31:20: [INFO] Placing additional elements for SW9
13:31:20: [INFO] Placing additional elements for SW8
13:31:20: [INFO] Placing additional elements for SW7
13:31:20: [INFO] Placing additional elements for SW6
13:31:20: [INFO] Placing additional elements for SW5
13:31:20: [INFO] Placing additional elements for SW4
13:31:20: [INFO] Placing additional elements for SW3
13:31:20: [INFO] Placing additional elements for SW2
13:31:20: [INFO] Placing additional elements for SW1
13:31:20: [INFO] Routing SW66 with D66
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW66:2' at (383540000, 109220000) with pad 'D66:2' at (386080000, 116900000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(383540000, 109220000), (383540000, 114360000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(383540000, 114360000), (386080000, 116900000)]
13:31:20: [INFO] Routing SW65 with D65
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW65:2' at (293052500, 109220000) with pad 'D65:2' at (295592500, 116900000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(293052500, 109220000), (293052500, 114360000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(293052500, 114360000), (295592500, 116900000)]
13:31:20: [INFO] Routing SW64 with D64
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW64:2' at (252571250, 109220000) with pad 'D64:2' at (255111250, 116900000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(252571250, 109220000), (252571250, 114360000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(252571250, 114360000), (255111250, 116900000)]
13:31:20: [INFO] Routing SW63 with D63
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW63:2' at (195421250, 109220000) with pad 'D63:2' at (197961250, 116900000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(195421250, 109220000), (195421250, 114360000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(195421250, 114360000), (197961250, 116900000)]
13:31:20: [INFO] Routing SW62 with D62
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW62:2' at (164465000, 109220000) with pad 'D62:2' at (167005000, 116900000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(164465000, 109220000), (164465000, 114360000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(164465000, 114360000), (167005000, 116900000)]
13:31:20: [INFO] Routing SW61 with D61
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW61:2' at (131127500, 109220000) with pad 'D61:2' at (133667500, 116900000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(131127500, 109220000), (131127500, 114360000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(131127500, 114360000), (133667500, 116900000)]
13:31:20: [INFO] Routing SW60 with D60
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW60:2' at (78740000, 109220000) with pad 'D60:2' at (81280000, 116900000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(78740000, 109220000), (78740000, 114360000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(78740000, 114360000), (81280000, 116900000)]
13:31:20: [INFO] Routing SW59 with D59
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW59:2' at (393065000, 90170000) with pad 'D59:2' at (395605000, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(393065000, 90170000), (393065000, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(393065000, 95310000), (395605000, 97850000)]
13:31:20: [INFO] Routing SW58 with D58
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW58:2' at (366871250, 90170000) with pad 'D58:2' at (369411250, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(366871250, 90170000), (366871250, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(366871250, 95310000), (369411250, 97850000)]
13:31:20: [INFO] Routing SW57 with D57
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW57:2' at (340677500, 90170000) with pad 'D57:2' at (343217500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(340677500, 90170000), (340677500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(340677500, 95310000), (343217500, 97850000)]
13:31:20: [INFO] Routing SW56 with D56
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW56:2' at (321627500, 90170000) with pad 'D56:2' at (324167500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(321627500, 90170000), (321627500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(321627500, 95310000), (324167500, 97850000)]
13:31:20: [INFO] Routing SW55 with D55
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW55:2' at (302577500, 90170000) with pad 'D55:2' at (305117500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(302577500, 90170000), (302577500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(302577500, 95310000), (305117500, 97850000)]
13:31:20: [INFO] Routing SW54 with D54
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW54:2' at (283527500, 90170000) with pad 'D54:2' at (286067500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(283527500, 90170000), (283527500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(283527500, 95310000), (286067500, 97850000)]
13:31:20: [INFO] Routing SW53 with D53
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW53:2' at (264477500, 90170000) with pad 'D53:2' at (267017500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(264477500, 90170000), (264477500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(264477500, 95310000), (267017500, 97850000)]
13:31:20: [INFO] Routing SW52 with D52
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW52:2' at (245427500, 90170000) with pad 'D52:2' at (247967500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(245427500, 90170000), (245427500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(245427500, 95310000), (247967500, 97850000)]
13:31:20: [INFO] Routing SW51 with D51
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW51:2' at (188277500, 90170000) with pad 'D51:2' at (190817500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(188277500, 90170000), (188277500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(188277500, 95310000), (190817500, 97850000)]
13:31:20: [INFO] Routing SW50 with D50
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW50:2' at (169227500, 90170000) with pad 'D50:2' at (171767500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(169227500, 90170000), (169227500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(169227500, 95310000), (171767500, 97850000)]
13:31:20: [INFO] Routing SW49 with D49
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW49:2' at (150177500, 90170000) with pad 'D49:2' at (152717500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(150177500, 90170000), (150177500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(150177500, 95310000), (152717500, 97850000)]
13:31:20: [INFO] Routing SW48 with D48
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW48:2' at (131127500, 90170000) with pad 'D48:2' at (133667500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(131127500, 90170000), (131127500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(131127500, 95310000), (133667500, 97850000)]
13:31:20: [INFO] Routing SW47 with D47
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW47:2' at (112077500, 90170000) with pad 'D47:2' at (114617500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(112077500, 90170000), (112077500, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(112077500, 95310000), (114617500, 97850000)]
13:31:20: [INFO] Routing SW46 with D46
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW46:2' at (81121250, 90170000) with pad 'D46:2' at (83661250, 97850000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(81121250, 90170000), (81121250, 95310000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(81121250, 95310000), (83661250, 97850000)]
13:31:20: [INFO] Routing SW45 with D45
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW45:2' at (376396250, 71120000) with pad 'D45:2' at (378936250, 78800000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(376396250, 71120000), (376396250, 76260000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(376396250, 76260000), (378936250, 78800000)]
13:31:20: [INFO] Routing SW44 with D44
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW44:2' at (345440000, 71120000) with pad 'D44:2' at (347980000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(345440000, 71120000), (345440000, 76260000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(345440000, 76260000), (347980000, 78800000)]
13:31:20: [INFO] Routing SW43 with D43
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW43:2' at (326390000, 71120000) with pad 'D43:2' at (328930000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(326390000, 71120000), (326390000, 76260000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(326390000, 76260000), (328930000, 78800000)]
13:31:20: [INFO] Routing SW42 with D42
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW42:2' at (307340000, 71120000) with pad 'D42:2' at (309880000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(307340000, 71120000), (307340000, 76260000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(307340000, 76260000), (309880000, 78800000)]
13:31:20: [INFO] Routing SW41 with D41
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW41:2' at (288290000, 71120000) with pad 'D41:2' at (290830000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(288290000, 71120000), (288290000, 76260000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(288290000, 76260000), (290830000, 78800000)]
13:31:20: [INFO] Routing SW40 with D40
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW40:2' at (269240000, 71120000) with pad 'D40:2' at (271780000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(269240000, 71120000), (269240000, 76260000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(269240000, 76260000), (271780000, 78800000)]
13:31:20: [INFO] Routing SW39 with D39
13:31:20: [INFO] Using internal autorouter method
13:31:20: [INFO] Routing pad 'SW39:2' at (250190000, 71120000) with pad 'D39:2' at (252730000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:20: [INFO] Adding track segment (B.Cu): [(250190000, 71120000), (250190000, 76260000)]
13:31:20: [INFO] Adding track segment (B.Cu): [(250190000, 76260000), (252730000, 78800000)]
13:31:20: [INFO] Routing SW38 with D38
13:31:20: [INFO] Using internal autorouter method
