=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIDeoAeoBccCMA6ArAX3gkk1kRXTnGwHYCioAmM4gZhagBYylUNrG9OMVwdIANjE1QAXUgAoMJmgtlpIsuYbI7eL0oChoZd22jtkuYtCMVRW+uG2t5ABaVGhJzp4V+2QS8bSFNvc29JPT8qPCIAZwBbSlAAJwB7ABcAfQBTAGNMUiDcSFwAHQA7Suqq2prKnJgovhijEvF6uq6anNIrYCRE5NAg1jthMcdQMZd9DBxAojHdCZCWMdF+0E5x7ZIWHdnQdwxPIh2VuawAox3wq5w6eKSMVMzcgqmAdw8iE7gzsISjROqCujlmP1Bi9hCwfqdirsSo4HjdES5QCUVpi1jIZEA
13:40:00: [INFO] Add SW38 footprint
13:40:00: [INFO] Add D38 footprint
13:40:00: [INFO] Add SW39 footprint
13:40:00: [INFO] Add D39 footprint
13:40:00: [INFO] Add SW40 footprint
13:40:00: [INFO] Add D40 footprint
13:40:00: [INFO] Add SW41 footprint
13:40:01: [INFO] Add D41 footprint
13:40:01: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:01: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:01: [INFO] Layout offset: (28575000, 28575000)
13:40:01: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:01: [INFO] Placing additional elements for SW41
13:40:01: [INFO] Placing additional elements for SW40
13:40:01: [INFO] Placing additional elements for SW39
13:40:01: [INFO] Placing additional elements for SW38
13:40:01: [INFO] Placing additional elements for SW37
13:40:01: [INFO] Placing additional elements for SW36
13:40:01: [INFO] Placing additional elements for SW35
13:40:01: [INFO] Placing additional elements for SW34
13:40:01: [INFO] Placing additional elements for SW33
13:40:01: [INFO] Placing additional elements for SW32
13:40:01: [INFO] Placing additional elements for SW31
13:40:01: [INFO] Placing additional elements for SW30
13:40:01: [INFO] Placing additional elements for SW29
13:40:01: [INFO] Placing additional elements for SW28
13:40:01: [INFO] Placing additional elements for SW27
13:40:01: [INFO] Placing additional elements for SW26
13:40:01: [INFO] Placing additional elements for SW25
13:40:01: [INFO] Placing additional elements for SW24
13:40:01: [INFO] Placing additional elements for SW23
13:40:01: [INFO] Placing additional elements for SW22
13:40:01: [INFO] Placing additional elements for SW21
13:40:01: [INFO] Placing additional elements for SW20
13:40:01: [INFO] Placing additional elements for SW19
13:40:01: [INFO] Placing additional elements for SW18
13:40:01: [INFO] Placing additional elements for SW17
13:40:01: [INFO] Placing additional elements for SW16
13:40:01: [INFO] Placing additional elements for SW15
13:40:01: [INFO] Placing additional elements for SW14
13:40:01: [INFO] Placing additional elements for SW13
13:40:01: [INFO] Placing additional elements for SW12
13:40:01: [INFO] Placing additional elements for SW11
13:40:01: [INFO] Placing additional elements for SW10
13:40:01: [INFO] Placing additional elements for SW9
13:40:01: [INFO] Placing additional elements for SW8
13:40:01: [INFO] Placing additional elements for SW7
13:40:01: [INFO] Placing additional elements for SW6
13:40:01: [INFO] Placing additional elements for SW5
13:40:01: [INFO] Placing additional elements for SW4
13:40:01: [INFO] Placing additional elements for SW3
13:40:01: [INFO] Placing additional elements for SW2
13:40:01: [INFO] Placing additional elements for SW1
13:40:01: [INFO] Routing SW41 with D41
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW41:S2' at (207025000, 121325000) with pad 'D41:2' at (197605000, 123925000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(207025000, 121325000), (200205000, 121325000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(200205000, 121325000), (197605000, 123925000)]
13:40:01: [INFO] Routing SW40 with D40
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW40:S2' at (221312500, 73700000) with pad 'D40:2' at (211892500, 76300000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(221312500, 73700000), (214492500, 73700000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(214492500, 73700000), (211892500, 76300000)]
13:40:01: [INFO] Routing SW39 with D39
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW39:S2' at (192737500, 73700000) with pad 'D39:2' at (183317500, 76300000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(192737500, 73700000), (185917500, 73700000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(185917500, 73700000), (183317500, 76300000)]
13:40:01: [INFO] Routing SW38 with D38
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW38:2' at (159702500, 128270000) with pad 'D38:2' at (162242500, 135950000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 128270000), (159702500, 133410000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 133410000), (162242500, 135950000)]
13:40:01: [INFO] Routing SW37 with D37
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW37:2' at (140652500, 128270000) with pad 'D37:2' at (143192500, 135950000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 128270000), (140652500, 133410000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 133410000), (143192500, 135950000)]
13:40:01: [INFO] Routing SW36 with D36
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW36:2' at (121602500, 128270000) with pad 'D36:2' at (124142500, 135950000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 128270000), (121602500, 133410000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 133410000), (124142500, 135950000)]
13:40:01: [INFO] Routing SW35 with D35
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW35:2' at (78740000, 128270000) with pad 'D35:2' at (81280000, 135950000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 128270000), (78740000, 133410000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 133410000), (81280000, 135950000)]
13:40:01: [INFO] Routing SW34 with D34
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW34:2' at (50165000, 128270000) with pad 'D34:2' at (52705000, 135950000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(50165000, 128270000), (50165000, 133410000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(50165000, 133410000), (52705000, 135950000)]
13:40:01: [INFO] Routing SW33 with D33
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW33:2' at (140652500, 109220000) with pad 'D33:2' at (143192500, 116900000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 109220000), (140652500, 114360000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 114360000), (143192500, 116900000)]
13:40:01: [INFO] Routing SW32 with D32
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW32:2' at (97790000, 118745000) with pad 'D32:2' at (100330000, 126425000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(97790000, 118745000), (97790000, 123885000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(97790000, 123885000), (100330000, 126425000)]
13:40:01: [INFO] Routing SW31 with D31
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW31:2' at (78740000, 109220000) with pad 'D31:2' at (81280000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 109220000), (78740000, 114360000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 114360000), (81280000, 116900000)]
13:40:01: [INFO] Routing SW30 with D30
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW30:2' at (59690000, 109220000) with pad 'D30:2' at (62230000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(59690000, 109220000), (59690000, 114360000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(59690000, 114360000), (62230000, 116900000)]
13:40:01: [INFO] Routing SW29 with D29
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW29:2' at (40640000, 109220000) with pad 'D29:2' at (43180000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 109220000), (40640000, 114360000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 114360000), (43180000, 116900000)]
13:40:01: [INFO] Routing SW28 with D28
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW28:2' at (159702500, 90170000) with pad 'D28:2' at (162242500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 90170000), (159702500, 95310000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 95310000), (162242500, 97850000)]
13:40:01: [INFO] Routing SW27 with D27
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW27:2' at (140652500, 90170000) with pad 'D27:2' at (143192500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 90170000), (140652500, 95310000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 95310000), (143192500, 97850000)]
13:40:01: [INFO] Routing SW26 with D26
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW26:2' at (121602500, 90170000) with pad 'D26:2' at (124142500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 90170000), (121602500, 95310000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 95310000), (124142500, 97850000)]
13:40:01: [INFO] Routing SW25 with D25
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW25:2' at (78740000, 90170000) with pad 'D25:2' at (81280000, 97850000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 90170000), (78740000, 95310000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 95310000), (81280000, 97850000)]
13:40:01: [INFO] Routing SW24 with D24
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW24:2' at (59690000, 90170000) with pad 'D24:2' at (62230000, 97850000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(59690000, 90170000), (59690000, 95310000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(59690000, 95310000), (62230000, 97850000)]
13:40:01: [INFO] Routing SW23 with D23
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW23:2' at (40640000, 90170000) with pad 'D23:2' at (43180000, 97850000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 90170000), (40640000, 95310000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 95310000), (43180000, 97850000)]
13:40:01: [INFO] Routing SW22 with D22
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW22:2' at (159702500, 71120000) with pad 'D22:2' at (162242500, 78800000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 71120000), (159702500, 76260000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 76260000), (162242500, 78800000)]
13:40:01: [INFO] Routing SW21 with D21
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW21:2' at (140652500, 71120000) with pad 'D21:2' at (143192500, 78800000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 71120000), (140652500, 76260000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 76260000), (143192500, 78800000)]
13:40:01: [INFO] Routing SW20 with D20
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW20:2' at (121602500, 71120000) with pad 'D20:2' at (124142500, 78800000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 71120000), (121602500, 76260000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 76260000), (124142500, 78800000)]
13:40:01: [INFO] Routing SW19 with D19
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW19:2' at (97790000, 80645000) with pad 'D19:2' at (100330000, 88325000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(97790000, 80645000), (97790000, 85785000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(97790000, 85785000), (100330000, 88325000)]
13:40:01: [INFO] Routing SW18 with D18
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW18:2' at (78740000, 71120000) with pad 'D18:2' at (81280000, 78800000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 71120000), (78740000, 76260000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 76260000), (81280000, 78800000)]
13:40:01: [INFO] Routing SW17 with D17
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW17:2' at (59690000, 71120000) with pad 'D17:2' at (62230000, 78800000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(59690000, 71120000), (59690000, 76260000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(59690000, 76260000), (62230000, 78800000)]
13:40:01: [INFO] Routing SW16 with D16
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW16:2' at (40640000, 71120000) with pad 'D16:2' at (43180000, 78800000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 71120000), (40640000, 76260000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 76260000), (43180000, 78800000)]
13:40:01: [INFO] Routing SW15 with D15
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW15:2' at (159702500, 52070000) with pad 'D15:2' at (162242500, 59750000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 52070000), (159702500, 57210000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 57210000), (162242500, 59750000)]
13:40:01: [INFO] Routing SW14 with D14
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW14:2' at (140652500, 52070000) with pad 'D14:2' at (143192500, 59750000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 52070000), (140652500, 57210000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 57210000), (143192500, 59750000)]
13:40:01: [INFO] Routing SW13 with D13
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW13:2' at (121602500, 52070000) with pad 'D13:2' at (124142500, 59750000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 52070000), (121602500, 57210000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 57210000), (124142500, 59750000)]
13:40:01: [INFO] Routing SW12 with D12
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW12:2' at (97790000, 52070000) with pad 'D12:2' at (100330000, 59750000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(97790000, 52070000), (97790000, 57210000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(97790000, 57210000), (100330000, 59750000)]
13:40:01: [INFO] Routing SW11 with D11
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW11:2' at (78740000, 52070000) with pad 'D11:2' at (81280000, 59750000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 52070000), (78740000, 57210000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(78740000, 57210000), (81280000, 59750000)]
13:40:01: [INFO] Routing SW10 with D10
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW10:2' at (59690000, 52070000) with pad 'D10:2' at (62230000, 59750000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(59690000, 52070000), (59690000, 57210000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(59690000, 57210000), (62230000, 59750000)]
13:40:01: [INFO] Routing SW9 with D9
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW9:2' at (40640000, 52070000) with pad 'D9:2' at (43180000, 59750000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 52070000), (40640000, 57210000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 57210000), (43180000, 59750000)]
13:40:01: [INFO] Routing SW8 with D8
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW8:2' at (221615000, 33020000) with pad 'D8:2' at (224155000, 40700000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(221615000, 33020000), (221615000, 38160000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(221615000, 38160000), (224155000, 40700000)]
13:40:01: [INFO] Routing SW7 with D7
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW7:2' at (202565000, 33020000) with pad 'D7:2' at (205105000, 40700000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(202565000, 33020000), (202565000, 38160000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(202565000, 38160000), (205105000, 40700000)]
13:40:01: [INFO] Routing SW6 with D6
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW6:2' at (183515000, 33020000) with pad 'D6:2' at (186055000, 40700000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(183515000, 33020000), (183515000, 38160000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(183515000, 38160000), (186055000, 40700000)]
13:40:01: [INFO] Routing SW5 with D5
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW5:2' at (159702500, 33020000) with pad 'D5:2' at (162242500, 40700000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 33020000), (159702500, 38160000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(159702500, 38160000), (162242500, 40700000)]
13:40:01: [INFO] Routing SW4 with D4
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW4:2' at (140652500, 33020000) with pad 'D4:2' at (143192500, 40700000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 33020000), (140652500, 38160000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(140652500, 38160000), (143192500, 40700000)]
13:40:01: [INFO] Routing SW3 with D3
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW3:2' at (121602500, 33020000) with pad 'D3:2' at (124142500, 40700000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 33020000), (121602500, 38160000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(121602500, 38160000), (124142500, 40700000)]
13:40:01: [INFO] Routing SW2 with D2
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW2:2' at (88265000, 33020000) with pad 'D2:2' at (90805000, 40700000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(88265000, 33020000), (88265000, 38160000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(88265000, 38160000), (90805000, 40700000)]
13:40:01: [INFO] Routing SW1 with D1
13:40:01: [INFO] Using internal autorouter method
13:40:01: [INFO] Routing pad 'SW1:2' at (40640000, 33020000) with pad 'D1:2' at (43180000, 40700000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 33020000), (40640000, 38160000)]
13:40:01: [INFO] Adding track segment (B.Cu): [(40640000, 38160000), (43180000, 40700000)]
13:40:01: [INFO] Routing COL7 pads
13:40:01: [INFO] Routing pad 'SW41:S1' at (207025000, 126325000) with pad 'SW8:1' at (215265000, 35560000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Routing COL1 pads
13:40:01: [INFO] Routing pad 'SW10:1' at (53340000, 54610000) with pad 'SW17:1' at (53340000, 73660000) using coordinate system rotated by 0 degree(s)
13:40:01: [INFO] Adding track segment (F.Cu): [(53340000, 54610000), (53340000, 73660000)]
